Occurrence Date,Department,Municipality,Lat,Long,Confidence ratio (km),Deaths,Trigger,Source,Rain Yesterday,Rain Today,Landslide
2011-12-19,CAUCA,PURACE,2.27,-76.46,12.71,2,Unknown,UNGRD,5.7,6.5,1
2011-12-19,NARIÑO,TANGUA,1.06,-77.35,8.33,1,Unknown,DESINVENTAR,24.8,20.7,1
2011-12-30,CALDAS,SAMANA,5.52,-75.0,15.52,3,Rainfall,UNGRD,3.7,2.1,1
2012-01-16,CALDAS,MARQUETALIA,5.31,-75.04,5.36,1,Unknown,UNGRD,0.0,1.9,1
2012-01-20,CAUCA,TIMBIQUI,2.64,-77.59,0.25,1,Human activity,UNGRD,5.4,10.7,1
2012-01-25,CAUCA,PATIA,2.16,-77.05,15.51,3,Unknown,UNGRD,4.7,1.7,1
2012-01-25,HUILA,GARZON,2.17,-75.57,13.91,2,Rainfall,UNGRD,2.4,1.6,1
2012-02-08,CALDAS,MANZANARES,5.23,-75.15,7.96,2,Unknown,UNGRD,0.1,13.5,1
2012-02-08,VALLE DEL CAUCA,DAGUA,3.65,-76.72,17.11,1,Unknown,UNGRD,1.0,16.0,1
2012-02-28,CALDAS,PENSILVANIA,5.43,-75.19,1.51,2,Unknown,UNGRD,0.5,5.0,1
2012-02-28,CAUCA,SUCRE,2.06,-76.91,6.57,1,Human activity,UNGRD,8.8,11.7,1
2012-03-14,SANTANDER,BUCARAMANGA,7.16,-73.11,6.99,8,Human activity,News report,2.9,0.0,1
2012-03-20,QUINDIO,ARMENIA,4.5,-75.73,6.17,2,Human activity,UNGRD,24.0,2.7,1
2012-03-27,NARIÑO,CHACHAGUI,1.39,-77.27,6.82,1,Unknown,UNGRD,5.7,2.4,1
2012-04-12,ANTIOQUIA,GRANADA,6.12,-75.13,7.77,3,Unknown,UNGRD,43.3,28.9,1
2012-04-12,VALLE DEL CAUCA,OBANDO,4.6,-75.95,8.27,1,Unknown,UNGRD,3.0,15.9,1
2012-04-13,BOGOTA,BOGOTA,4.63,-74.11,11.6,1,Unknown,UNGRD,20.1,2.8,1
2012-04-15,NARIÑO,FUNES,0.96,-77.4,11.21,1,Unknown,UNGRD,4.0,3.5,1
2012-04-20,NARIÑO,IPIALES,0.5,-77.24,22.45,2,Unknown,UNGRD,6.0,4.0,1
2012-04-21,ANTIOQUIA,CAROLINA,6.76,-75.32,7.56,1,Unknown,UNGRD,0.6,21.5,1
2012-04-21,ANTIOQUIA,GOMEZ PLATA,6.71,-75.19,10.26,1,Unknown,UNGRD,0.6,21.5,1
2012-04-21,CAUCA,INZA,2.44,-76.17,19.62,2,Rainfall,UNGRD,36.9,14.8,1
2012-04-21,BOYACA,SORACA,5.5,-73.32,4.22,2,Rainfall,UNGRD,12.8,36.0,1
2012-04-21,TOLIMA,IBAGUE,4.48,-75.17,0.78,2,Unknown,UNGRD,1.3,11.5,1
2012-04-21,NARIÑO,ANCUYA,1.25,-77.53,4.68,1,Unknown,UNGRD,10.7,6.8,1
2012-04-23,CAQUETA,FLORENCIA,1.61,-75.6,1.5,4,Unknown,UNGRD,5.0,1.5,1
2012-04-27,TOLIMA,FRESNO,5.19,-75.05,8.34,1,Unknown,UNGRD,3.4,6.7,1
2012-04-28,ANTIOQUIA,VALDIVIA,7.26,-75.4,13.43,2,Unknown,UNGRD,22.6,13.4,1
2012-05-03,HUILA,ISNOS,1.94,-76.13,0.86,1,Rainfall,UNGRD,3.3,0.9,1
2012-05-12,ANTIOQUIA,LA PINTADA,5.75,-75.6,4.16,2,Unknown,UNGRD,0.9,10.0,1
2012-05-19,CUNDINAMARCA,YACOPI,5.46,-74.34,0.5,1,Unknown,UNGRD,5.3,5.7,1
2012-06-09,CUNDINAMARCA,UBALA,4.8,-73.48,9.86,1,Rainfall,UNGRD,5.8,18.7,1
